0,"#System",0
2,"Corporation",2
3,"Region",3
4,"Constellation",4
5,"Solar System",5
6,"Sun G5 (Yellow)",6
7,"Sun K7 (Orange)",7
8,"Sun K5 (Red Giant)",8
9,"Sun B0 (Blue)",9
10,"Sun F0 (White)",10
11,"Planet (Temperate)",11
12,"Planet (Ice)",12
13,"Planet (Gas)",13
14,"Moon",14
15,"Asteroid Belt",15
16,"Stargate (Caldari System)",16
17,"Stargate (Amarr Constellation)",17
18,"Plagioclase",18
19,"Spodumain",19
20,"Kernite",20
21,"Hedbergite",21
22,"Arkonor",22
23,"Cargo Container",23
24,"Ring",24
25,"Corpse",25
26,"Office Folder",26
27,"Office",27
28,"Factory Folder",28
29,"Credits",29
30,"Faction",30
34,"Tritanium",34
35,"Pyerite",35
36,"Mexallon",36
37,"Isogen",37
38,"Nocxium",38
39,"Zydrine",39
40,"Megacyte",40
41,"Garbage",41
42,"Spiced Wine",42
43,"Antibiotics",43
44,"Enriched Uranium",44
45,"Frozen Plant Seeds",45
49,"Player Kill",49
50,"Company Shares",50
51,"Bookmark",51
52,"Trading",52
53,"Trade Session",53
54,"Caldari Logistics Station",54
56,"Gallente Military Station",56
57,"Gallente Station Hub ",57
58,"C-O-1",58
59,"C-O-2",59
164,"Clone Grade Alpha",164
165,"Clone Grade Beta",165
166,"Clone Grade Gamma",166
178,"Carbonized Lead S",178
179,"Nuclear S",179
180,"Proton S",180
181,"Depleted Uranium S",181
182,"Titanium Sabot S",182
183,"Fusion S",183
184,"Phased Plasma S",184
185,"EMP S",185
186,"Carbonized Lead M",186
187,"Nuclear M",187
188,"Proton M",188
189,"Depleted Uranium M",189
190,"Titanium Sabot M",190
191,"Fusion M",191
192,"Phased Plasma M",192
193,"EMP M",193
194,"Carbonized Lead L",194
195,"Nuclear L",195
196,"Proton L",196
197,"Depleted Uranium L",197
198,"Titanium Sabot L",198
199,"Fusion L",199
200,"Phased Plasma L",200
201,"EMP L",201
202,"Mjolnir Cruise Missile",202
203,"Scourge Cruise Missile",203
204,"Inferno Cruise Missile",204
205,"Nova Cruise Missile",205
206,"Nova Heavy Missile",206
207,"Mjolnir Heavy Missile",207
208,"Inferno Heavy Missile",208
209,"Scourge Heavy Missile",209
210,"Scourge Light Missile",210
211,"Inferno Light Missile",211
212,"Mjolnir Light Missile",212
213,"Nova Light Missile",213
215,"Iron Charge S",215
216,"Tungsten Charge S",216
217,"Iridium Charge S",217
218,"Lead Charge S",218
219,"Thorium Charge S",219
220,"Uranium Charge S",220
221,"Plutonium Charge S",221
222,"Antimatter Charge S",222
223,"Iron Charge M",223
224,"Tungsten Charge M",224
225,"Iridium Charge M",225
226,"Lead Charge M",226
227,"Thorium Charge M",227
228,"Uranium Charge M",228
229,"Plutonium Charge M",229
230,"Antimatter Charge M",230
231,"Iron Charge L",231
232,"Tungsten Charge L",232
233,"Iridium Charge L",233
234,"Lead Charge L",234
235,"Thorium Charge L",235
236,"Uranium Charge L",236
237,"Plutonium Charge L",237
238,"Antimatter Charge L",238
239,"Radio S",239
240,"Microwave S",240
241,"Infrared S",241
242,"Standard S",242
243,"Ultraviolet S",243
244,"Xray S",244
245,"Gamma S",245
246,"Multifrequency S",246
247,"Radio M",247
248,"Microwave M",248
249,"Infrared M",249
250,"Standard M",250
251,"Ultraviolet M",251
252,"Xray M",252
253,"Gamma M",253
254,"Multifrequency M",254
255,"Radio L",255
256,"Microwave L",256
257,"Infrared L",257
258,"Standard L",258
259,"Ultraviolet L",259
260,"Xray L",260
261,"Gamma L",261
262,"Multifrequency L",262
263,"Cap Booster 25",263
264,"Cap Booster 50",264
265,"Heavy Defender Missile I",265
266,"Scourge Rocket",266
267,"Scourge Torpedo",267
269,"Mjolnir Auto-Targeting Light Missile I",269
270,"Python Mine",270
377,"Small Shield Extender I",377
380,"Small Shield Extender II",380
393,"Shield Recharger I",393
394,"Shield Recharger II",394
399,"Small Shield Booster I",399
400,"Small Shield Booster II",400
405,"Micro Shield Transporter I",405
406,"Micro Shield Transporter II",406
421,"Basic Capacitor Recharger",421
434,"1MN Microwarpdrive I",434
438,"1MN Afterburner II",438
439,"1MN Afterburner I",439
440,"1MN Microwarpdrive II",440
442,"Cargo Scanner I",442
443,"Ship Scanner I",443
444,"Survey Scanner I",444
447,"Warp Scrambler I",447
448,"Warp Scrambler II",448
450,"Gatling Pulse Laser I",450
451,"Dual Light Pulse Laser I",451
452,"Dual Light Beam Laser I",452
453,"Medium Pulse Laser I",453
454,"Medium Beam Laser I",454
455,"Quad Light Beam Laser I",455
456,"Focused Medium Pulse Laser I",456
457,"Focused Medium Beam Laser I",457
458,"Heavy Pulse Laser I",458
459,"Heavy Beam Laser I",459
460,"Dual Heavy Pulse Laser I",460
461,"Dual Heavy Beam Laser I",461
462,"Mega Pulse Laser I",462
463,"Mega Beam Laser I",463
464,"Tachyon Beam Laser I",464
482,"Miner II",482
483,"Miner I",483
484,"125mm Gatling AutoCannon I",484
485,"150mm Light AutoCannon I",485
486,"200mm AutoCannon I",486
487,"250mm Light Artillery Cannon I",487
488,"280mm Howitzer Artillery I",488
489,"Dual 180mm AutoCannon I",489
490,"220mm Vulcan AutoCannon I",490
491,"425mm AutoCannon I",491
492,"650mm Artillery Cannon I",492
493,"720mm Howitzer Artillery I",493
494,"Dual 425mm AutoCannon I",494
495,"Dual 650mm Repeating Artillery I",495
496,"800mm Repeating Artillery I",496
497,"1200mm Artillery Cannon I",497
498,"1400mm Howitzer Artillery I",498
499,"Light Missile Launcher I",499
501,"Heavy Missile Launcher I",501
503,"Torpedo Launcher I",503
506,"Basic Capacitor Power Relay",506
508,"Basic Shield Flux Coil",508
509,"Basic Capacitor Flux Coil",509
518,"Basic Gyrostabilizer",518
519,"Gyrostabilizer II",519
520,"Gyrostabilizer I",520
521,"Basic Damage Control",521
522,"Micro Capacitor Battery I",522
523,"Small Armor Repairer I",523
524,"Small Hull Repairer I",524
526,"Stasis Webifier I",526
527,"Stasis Webifier II",527
529,"Small Energy Transfer Array I",529
530,"Small Nosferatu I",530
533,"Small Energy Neutralizer I",533
561,"75mm Gatling Rail I",561
562,"Light Electron Blaster I",562
563,"Light Ion Blaster I",563
564,"Light Neutron Blaster I",564
565,"150mm Railgun I",565
566,"Heavy Electron Blaster I",566
567,"Dual 150mm Railgun I",567
568,"Heavy Neutron Blaster I",568
569,"Heavy Ion Blaster I",569
570,"250mm Railgun I",570
571,"Electron Blaster Cannon I",571
572,"Dual 250mm Railgun I",572
573,"Neutron Blaster Cannon I",573
574,"425mm Railgun I",574
575,"Ion Blaster Cannon I",575
577,"Medium Capacitor Booster I",577
578,"Adaptive Invulnerability Field I",578
580,"ECM Burst I",580
581,"Passive Targeter I",581
582,"Bantam",582
583,"Condor",583
584,"Griffin",584
585,"Slasher",585
586,"Probe",586
587,"Rifter",587
588,"Reaper",588
589,"Executioner",589
590,"Inquisitor",590
591,"Tormentor",591
592,"Navitas",592
593,"Tristan",593
594,"Incursus",594
595,"Gallente Police Ship",595
596,"Impairor",596
597,"Punisher",597
598,"Breacher",598
599,"Burst",599
600,"Minmatar Peacekeeper Ship",600
601,"Ibis",601
602,"Kestrel",602
603,"Merlin",603
605,"Heron",605
606,"Velator",606
607,"Imicus",607
608,"Atron",608
609,"Maulus",609
610,"Wraith",610
611,"Specter",611
613,"Devourer",613
614,"Fury",614
615,"Styx",615
616,"Medusa",616
617,"Echo",617
618,"Lynx",618
619,"Swordspine",619
620,"Osprey",620
621,"Caracal",621
622,"Stabber",622
623,"Moa",623
624,"Maller",624
625,"Augoror",625
626,"Vexor",626
627,"Thorax",627
628,"Arbitrator",628
629,"Rupture",629
630,"Bellicose",630
631,"Scythe",631
632,"Blackbird",632
633,"Celestis",633
634,"Exequror",634
635,"Opux Luxury Yacht",635
638,"Raven",638
639,"Tempest",639
640,"Scorpion",640
641,"Megathron",641
642,"Apocalypse",642
643,"Armageddon",643
644,"Typhoon",644
645,"Dominix",645
647,"Eidolon",647
648,"Badger",648
649,"Badger Mark II",649
650,"Iteron",650
651,"Hoarder",651
652,"Mammoth",652
653,"Wreathe",653
654,"Iteron Mark II",654
655,"Iteron Mark III",655
656,"Iteron Mark IV",656
657,"Iteron Mark V",657
658,"Visitant",658
670,"Capsule",670
671,"Erebus",671
672,"Caldari Shuttle",672
681,"Clone Grade Beta Blueprint",681
682,"Clone Grade Gamma Blueprint",682
683,"Bantam Blueprint",683
684,"Condor Blueprint",684
685,"Griffin Blueprint",685
686,"Osprey Blueprint",686
687,"Caracal Blueprint",687
688,"Raven Blueprint",688
689,"Slasher Blueprint",689
690,"Probe Blueprint",690
691,"Rifter Blueprint",691
692,"Stabber Blueprint",692
693,"Tempest Blueprint",693
784,"Miner II Blueprint",784
785,"Miner I Blueprint",785
786,"Light Missile Launcher I Blueprint",786
788,"Heavy Missile Launcher I Blueprint",788
790,"Torpedo Launcher I Blueprint",790
803,"Mjolnir Cruise Missile Blueprint",803
804,"Scourge Cruise Missile Blueprint",804
805,"Inferno Cruise Missile Blueprint",805
806,"Nova Cruise Missile Blueprint",806
807,"Nova Heavy Missile Blueprint",807
808,"Mjolnir Heavy Missile Blueprint",808
809,"Inferno Heavy Missile Blueprint",809
810,"Scourge Heavy Missile Blueprint",810
811,"Scourge Light Missile Blueprint",811
812,"Inferno Light Missile Blueprint",812
813,"Mjolnir Light Missile Blueprint",813
814,"Nova Light Missile Blueprint",814
819,"125mm Gatling AutoCannon I Blueprint",819
820,"150mm Light AutoCannon I Blueprint",820
821,"200mm AutoCannon I Blueprint",821
822,"250mm Light Artillery Cannon I Blueprint",822
823,"280mm Howitzer Artillery I Blueprint",823
824,"Dual 180mm AutoCannon I Blueprint",824
825,"220mm Vulcan AutoCannon I Blueprint",825
826,"425mm AutoCannon I Blueprint",826
827,"650mm Artillery Cannon I Blueprint",827
828,"720mm Howitzer Artillery I Blueprint",828
829,"Dual 425mm AutoCannon I Blueprint",829
830,"Dual 650mm Repeating Artillery I Blueprint",830
831,"800mm Repeating Artillery I Blueprint",831
832,"1200mm Artillery Cannon I Blueprint",832
833,"1400mm Howitzer Artillery I Blueprint",833
834,"Gatling Pulse Laser I Blueprint",834
835,"Dual Light Pulse Laser I Blueprint",835
836,"Dual Light Beam Laser I Blueprint",836
837,"Medium Pulse Laser I Blueprint",837
838,"Medium Beam Laser I Blueprint",838
839,"Quad Light Beam Laser I Blueprint",839
840,"Focused Medium Pulse Laser I Blueprint",840
841,"Focused Medium Beam Laser I Blueprint",841
842,"Heavy Pulse Laser I Blueprint",842
843,"Heavy Beam Laser I Blueprint",843
844,"Dual Heavy Pulse Laser I Blueprint",844
845,"Dual Heavy Beam Laser I Blueprint",845
846,"Mega Pulse Laser I Blueprint",846
847,"Mega Beam Laser I Blueprint",847
848,"Tachyon Beam Laser I Blueprint",848
879,"Carbonized Lead S Blueprint",879
880,"Nuclear S Blueprint",880
881,"Proton S Blueprint",881
882,"Depleted Uranium S Blueprint",882
883,"Titanium Sabot S Blueprint",883
884,"Fusion S Blueprint",884
885,"Phased Plasma S Blueprint",885
886,"EMP S Blueprint",886
887,"Carbonized Lead M Blueprint",887
888,"Nuclear M Blueprint",888
889,"Proton M Blueprint",889
890,"Depleted Uranium M Blueprint",890
891,"Titanium Sabot M Blueprint",891
892,"Fusion M Blueprint",892
893,"Phased Plasma M Blueprint",893
894,"EMP M Blueprint",894
895,"Carbonized Lead L Blueprint",895
